model,accuracy,macro_f1,weighted_f1,f1_差评,f1_中评,f1_好评,precision_差评,precision_中评,precision_好评,recall_差评,recall_中评,recall_好评
MultinomialNB,0.8234285714285714,0.4383469014854473,0.7663088929834491,0.332871012482663,0.0771850170261067,0.9049846749475722,0.6818181818181818,0.4,0.8324677251817777,0.2201834862385321,0.0427135678391959,0.9913412263650822
LinearSVC,0.8295714285714286,0.4928272704213738,0.7851610412671431,0.4289156626506024,0.1392405063291139,0.9103256422844052,0.624561403508772,0.4342105263157895,0.8476306567118695,0.326605504587156,0.0829145728643216,0.9830358720622018
XGBoost,0.6997142857142857,0.5259979145285187,0.7363161734387662,0.42105263157894735,0.33361921097770153,0.8233219010289073,0.3355119825708061,0.2532552083333333,0.9241091069071712,0.5651376146788991,0.4886934673366834,0.7423573069446898
